,OSM_id,Building_Height,Building_Volume,Roof_Area,Radiation
503,1004648917,6,165.908273,14.723341,4468.093035
504,1004648916,6,244.901636,23.635903,6702.139552
505,1004648915,6,717.481837,93.118722,35744.744277
506,1004648914,6,521.009722,67.165252,29042.604725
507,1004648913,6,565.581622,70.233433,30159.627983
508,1004648912,6,475.419125,59.016424,18989.395397
509,1004648911,6,302.819244,41.078523,8936.186069
510,1004648910,6,758.975933,104.576297,36861.767535
511,1004648909,6,342.440301,39.952191,17872.372138
512,1004648908,6,110.007327,13.91856,4468.093035
513,1004648907,6,173.068758,22.185759,6702.139552
514,1004648906,6,222.324489,28.497084,6702.139552
515,1004648905,6,347.689251,51.016485,23457.488432
516,1004648904,6,878.166825,116.271107,42446.883829
517,1004648903,6,612.753566,79.120207,30159.627983
518,1004646848,6,700.809573,91.000675,35744.744277
519,1004646847,6,251.141149,31.06188,8936.186069
520,1004646846,6,364.468122,46.415079,17872.372138
521,1004646845,6,462.464313,55.498863,11170.232586
522,1004646844,6,403.702727,57.963262,23457.488432
523,1004646843,6,500.2913,64.105216,24574.51169
524,1004646842,6,460.190015,71.919867,30159.627983
525,1004646841,6,280.506148,45.437389,11170.232586
526,1004646837,6,764.292006,96.992589,36861.767535
527,1004646836,6,766.32693,96.113363,34627.721018
528,1004646835,6,732.434558,86.924863,34627.721018
529,1004646834,6,583.736523,76.414542,29042.604725
530,1004646833,6,616.311106,81.559845,30159.627983
531,1004646832,6,808.157136,105.762267,42446.883829
532,1004646831,6,330.1814,47.888462,18989.395397
533,1004646830,6,135.803929,21.763934,6702.139552
534,1004646829,6,1046.983613,130.203651,42446.883829
535,1004646828,6,229.13998,30.877949,8936.186069
536,1004646827,6,324.425076,41.714632,17872.372138
537,1004646826,6,488.316192,64.41817,23457.488432
538,1004646825,6,513.829494,64.304036,29042.604725
539,1004646824,6,256.524839,31.453474,8936.186069
540,1004646823,6,120.06547,16.926855,4468.093035
541,1004646822,6,597.946938,74.646548,37978.790794
542,1004646821,6,243.339043,38.476587,11170.232586
543,1004646819,6,450.893426,73.138246,24574.51169
544,1004646818,6,452.325227,62.339731,25691.534949
545,1004646817,6,233.730035,34.235187,8936.186069
546,1004646816,6,524.890539,69.953752,29042.604725
