OSM_id Building_Height Building_Volume Roof_Area Radiation
2095398 6 1969.2964 201.377304 108041.942335
2095397 6 2228.110838 218.459342 103777.128821
2095396 6 2163.055941 215.209862 108041.942335
2095395 6 2208.359289 218.175137 113728.360352
2095394 6 1927.693229 221.281773 113728.360352
2079154 6 1899.527566 209.525228 129366.009901
2013050 6 2505.398025 272.961636 164906.122511
2013049 6 1931.029162 215.761451 117993.173865
2013048 6 2023.76209 229.418879 154954.89098
2012925 6 2549.346072 268.654224 157798.099989
2012924 6 2321.148288 285.792649 136474.032423
2012923 6 1923.23594 212.04873 114848.94342
1922063 6 1941.741264 218.248594 109236.345478
1922061 6 1972.335707 219.671963 117801.02948
1922060 6 1792.04625 202.934509 115149.964857
1918657 6 2110.619747 206.602111 142160.45044
1717059 6 1949.75708 205.554789 132209.21891
1707884 6 2034.96133 238.833797 154954.89098
1467257 6 2155.868803 248.650345 140738.845936
1450423 6 1129.413594 76.42577 45491.344141
1331910 6 1995.455764 222.391612 120836.382874
1323584 6 1721.34608 146.188435 66815.411707
1318157 6 16202.97799 1067.558904 470551.090957
1302099 6 638.21998 47.480991 14216.045044
1302099 6 48968.439897 2459.616135 1.0662e+6
1302099 6 16159.755961 1224.916389 516175.697625
1302099 6 11304.288354 900.771775 366773.962136
402177 6 4114.140188 414.381432 167749.33152
369638 6 13503.467533 844.149542 349714.708083
151696 6 14367.761534 914.782877 355401.126101
105577 6 15727.215844 973.669373 380990.00718
93013 6 20151.531209 1751.193487 733547.924272
67624 6 1129.760563 95.094667 46912.948645
1062532830 6 1383.117277 130.04049 68237.016211
1057100869 6 729.02311 60.650871 29853.694592
1051380926 6 729.02311 60.655025 29853.694592
1042803341 6 1606.6796 134.087265 54020.971167
1042803340 9 3763.77686 209.771429 99512.315308
1040731268 9 3765.817954 209.877666 98090.710804
1036302642 9 3765.817954 209.877666 98090.710804
1034875346 9 4961.123759 273.707438 113728.360352
1034875345 12 14636.737267 511.465616 211819.071156
1034875344 12 14636.737267 511.399973 211819.071156
1034875343 9 1427.62921 79.279707 36961.717114
1034875342 9 1428.469487 79.322893 38383.321619
1034875341 9 1428.469487 79.326389 38383.321619
1034875340 9 1533.615058 85.303496 38383.321619
1034875339 6 1468.681328 118.095695 53963.568676
1034875338 6 1028.787253 85.285481 46910.716767
1034875337 9 1145.186849 63.370355 31275.299097
1034875336 9 1144.060805 63.307797 31275.299097
1034875335 9 1145.186849 63.373275 31275.299097
1034875334 9 8157.101951 389.28214 156376.495484
1034875333 6 1331.585768 118.279379 55442.575672
1034875332 9 1583.520059 85.553933 36961.717114
1034875331 9 1665.531013 89.40049 38383.321619
1034875330 9 1630.752463 88.999477 46912.948645
1034875329 6 476.181173 39.638455 11354.721932
1034875328 6 335.718092 24.983718 8529.627026
1034875327 9 1634.687325 88.969905 38383.321619
1034875326 9 1516.628153 83.145018 45491.344141
1034875325 9 1599.731836 89.138865 44069.739637
1034875324 6 844.168831 71.80092 38383.321619
1034875323 6 788.936652 67.2165 29853.694592
1034875322 6 1165.377414 98.695803 62550.598194
1034875321 9 2031.872174 112.509894 45491.344141
1034875320 9 1688.733 93.98417 36961.717114
1034875319 6 1390.03444 102.649214 55442.575672
1034875318 6 667.944781 50.971613 35540.11261
1034875317 6 912.886394 66.512609 41226.530628
1034875316 6 1455.903702 97.473681 63972.202698
1034875315 6 812.473269 62.245874 35540.11261
1034875314 6 918.077598 69.839453 27010.485584
